block_id	Bm_gene	Bm_chrf	Bm_statrtsite	Bm_length	Bm_sign	Pr_gene	Pr_chrf	Pr_statrtsite	Pr_length	Pr_sign	Sl_gene	Sl_chrf	Sl_statrtsite	Sl_length	Sl_sign	Tn_gene	Tn_chrf	Tn_statrtsite	Tn_length	Tn_sign	Hmel_gene	Hmel_chrf	Hmel_statrtsite	Hmel_length	Hmel_sign
0	KWMTBOMO00011	1	362976	26284	1	SWUPr00149010	14	1962706	17049	-1	SWUSl0000070	31	372576	15822	1	Tni12770	1	450450	20557	1	HMEL035474g1.t1	21	2571229	16371	-1
0	KWMTBOMO00019	1	511106	34832	1	SWUPr00149000	14	1893813	55403	-1	SWUSl0000090	31	413035	28697	1	Tni12765	1	558049	55953	-1	HMEL008807g1.t1	21	2494204	7349	-1
0	KWMTBOMO00020	1	550815	2112	-1	SWUPr00148690	14	985678	4242	1	SWUSl0000100	31	446114	2647	-1	Tni12767	1	489806	7728	1	HMEL008808g1.t1	21	2482188	1318	1
0	KWMTBOMO00021	1	552536	907	1	SWUPr00148680	14	983189	728	1	SWUSl0000110	31	446886	734	1	Tni12768	1	489171	671	-1	HMEL008809g1.t1	21	2478765	725	-1
0	KWMTBOMO00022	1	564496	3218	1	SWUPr00148450	14	411896	3032	1	SWUSl0000120	31	460808	3038	1	Tni12760	1	605243	3038	1	HMEL008812g1.t1	21	2471382	3038	-1
0	KWMTBOMO00023	1	606255	1131	-1	SWUPr00148460	14	448956	1514	-1	SWUSl0000130	31	487263	992	-1	Tni12759	1	661742	992	-1	HMEL008813g1.t1	21	2452058	992	1
0	KWMTBOMO00024	1	607796	17534	1	SWUPr00148470	14	452152	20619	1	SWUSl0000140	31	489631	16233	1	Tni12758	1	662788	19467	1	HMEL008814g1.t1	21	2451225	7611	-1
0	KWMTBOMO00037	1	1209725	3167	-1	SWUPr00148730	14	1145282	2732	-1	SWUSl0000760	31	2626580	1745	-1	Tni12721	1	1913293	2185	1	HMEL007285g1.t1	21	2068471	1605	1
0	KWMTBOMO00042	1	1297471	2057	1	SWUPr00148760	14	1245268	7648	1	SWUSl0000730	31	2547860	1938	-1	Tni12718	1	2006978	19733	1	HMEL007283g1.t1	21	2032563	4582	-1
0	KWMTBOMO00051	1	1448811	20716	1	SWUPr00148820	14	1408401	11359	1	SWUSl0000640	31	2365600	15612	-1	Tni12710	1	2229616	23060	1	HMEL007275g1.t1	21	1953018	7398	-1
1	KWMTBOMO00168	1	5307347	4242	1	SWUPr00149930	14	5711455	5839	1	SWUSl0001480	31	6360450	5641	-1	Tni12801	1	4975742	6842	-1	HMEL015795g1.t1	21	12882036	3938	1
1	KWMTBOMO00172	1	5504843	22166	1	SWUPr00150000	14	5961133	10440	1	SWUSl0001410	31	6127875	5139	-1	Tni12794	1	4720552	8511	-1	HMEL013041g1.t1	21	13084239	4260	1
1	KWMTBOMO00181	1	5704293	9418	1	SWUPr00150080	14	6142847	8148	1	SWUSl0001570	31	6713210	5956	1	Tni12809	1	5258078	8278	1	HMEL035834g1.t1	21	13217212	6114	1
1	KWMTBOMO00186	1	5963213	1832	1	SWUPr00150120	14	6339626	1538	1	SWUSl0001600	31	6866812	1541	1	Tni12814	1	5405084	1538	1	HMEL009251g1.t1	21	13341840	1544	1
0	KWMTBOMO00187	1	5978092	10153	-1	SWUPr00152250	14	13876135	6823	1	SWUSl0001610	31	6876126	7779	1	Tni12815	1	5412544	12545	1	HMEL009252g1.t1	21	13348272	5584	1
0	KWMTBOMO00188	1	5981723	8255	1	SWUPr00152340	14	14101714	7796	-1	SWUSl0001620	31	6885014	5882	1	Tni12817	1	5428002	12609	1	HMEL035801g1.t1	21	12613660	4063	-1
2	KWMTBOMO00189	1	5998702	6326	-1	SWUPr00152320	14	14082874	5050	1	SWUSl0001640	31	6900298	5018	-1	Tni12818	1	5449214	9439	-1	HMEL025047g2.t1	21	12446464	6414	-1
2	KWMTBOMO00191	1	6126863	21029	1	SWUPr00152300	14	14002000	70181	-1	SWUSl0001650	31	6926996	12740	1	Tni06187	1	5550842	13677	1	HMEL011562g6.t1	21	12535918	30090	1
0	KWMTBOMO00192	1	6157932	6545	-1	SWUPr00152290	14	13916511	12483	1	SWUSl0001660	31	6945957	4542	-1	Tni06188	1	5571030	3383	-1	HMEL011561g1.t1	21	12583749	12775	-1
0	KWMTBOMO00194	1	6173933	2209	1	SWUPr00152280	14	13902911	4851	-1	SWUSl0001670	31	6946952	13116	1	Tni06189	1	5581277	10263	1	HMEL035800g1.t1	21	12588487	18129	1
2	KWMTBOMO00195	1	6184082	6018	-1	SWUPr00152260	14	13888605	4694	1	SWUSl0001680	31	6972036	6827	-1	Tni06190	1	5603185	8508	-1	HMEL035803g1.t1	21	12658464	4254	-1
2	KWMTBOMO00198	1	6218332	4118	-1	SWUPr00152230	14	13847627	5264	1	SWUSl0001700	31	6994492	680	-1	Tni06192	1	5621730	1394	-1	HMEL011795g1.t1	21	12681317	1542	-1
0	KWMTBOMO00200	1	6273243	4786	1	SWUPr00152220	14	13773625	5594	-1	SWUSl0001720	31	7036743	4425	1	Tni06194	1	5667005	10818	1	HMEL017737g1.t1	21	12763262	4455	1
0	KWMTBOMO00201	1	6281373	49848	1	SWUPr00152200	14	13765839	60506	-1	SWUSl0001740	31	7055863	45016	1	Tni06195	1	5680758	41475	1	HMEL035825g1.t1	21	12797748	21774	1
3	KWMTBOMO00203	1	6341653	16226	1	SWUPr00152170	14	13659196	20111	-1	SWUSl0001760	31	7156103	11798	1	Tni06199	1	5773120	18225	1	HMEL010553g1.t1	21	9403931	18908	-1
3	KWMTBOMO00211	1	6576261	59779	1	SWUPr00152120	14	13407219	10953	-1	SWUSl0001810	31	7345865	31544	1	Tni06203	1	5927864	35044	1	HMEL012199g3.t1	21	9198240	2583	-1
0	KWMTBOMO00214	1	6849914	23067	-1	SWUPr00152080	14	13153510	14149	1	SWUSl0001860	31	7579336	10886	-1	Tni06208	1	6120075	10916	-1	HMEL012190g1.t1	21	9002825	13177	1
0	KWMTBOMO00215	1	6857415	48267	1	SWUPr00152060	14	13143404	58744	-1	SWUSl0001870	31	7580874	55710	1	Tni06209	1	6129850	42352	1	HMEL035668g1.t1	21	8969074	59267	-1
3	KWMTBOMO00219	1	7020984	8681	-1	SWUPr00152040	14	12961130	52511	1	SWUSl0001900	31	7742451	36499	-1	Tni06212	1	6248582	17755	-1	HMEL008470g1.t1	21	8497055	18821	-1

