block_id	Bm_gene	Bm_chrf	Bm_statrtsite	Bm_length	Bm_sign	Pr_gene	Pr_chrf	Pr_statrtsite	Pr_length	Pr_sign
0	KWMTBOMO00011	1	362976	26284	1	SWUPr00149010	14	1962706	17049	-1
0	KWMTBOMO00019	1	511106	34832	1	SWUPr00149000	14	1893813	55403	-1
0	KWMTBOMO00020	1	550815	2112	-1	SWUPr00148690	14	985678	4242	1
0	KWMTBOMO00021	1	552536	907	1	SWUPr00148680	14	983189	728	1
0	KWMTBOMO00022	1	564496	3218	1	SWUPr00148450	14	411896	3032	1
0	KWMTBOMO00023	1	606255	1131	-1	SWUPr00148460	14	448956	1514	-1
0	KWMTBOMO00024	1	607796	17534	1	SWUPr00148470	14	452152	20619	1
0	KWMTBOMO00037	1	1209725	3167	-1	SWUPr00148730	14	1145282	2732	-1
0	KWMTBOMO00042	1	1297471	2057	1	SWUPr00148760	14	1245268	7648	1
0	KWMTBOMO00051	1	1448811	20716	1	SWUPr00148820	14	1408401	11359	1
1	KWMTBOMO00168	1	5307347	4242	1	SWUPr00149930	14	5711455	5839	1
1	KWMTBOMO00172	1	5504843	22166	1	SWUPr00150000	14	5961133	10440	1
1	KWMTBOMO00181	1	5704293	9418	1	SWUPr00150080	14	6142847	8148	1
1	KWMTBOMO00186	1	5963213	1832	1	SWUPr00150120	14	6339626	1538	1
0	KWMTBOMO00187	1	5978092	10153	-1	SWUPr00152250	14	13876135	6823	1
0	KWMTBOMO00188	1	5981723	8255	1	SWUPr00152340	14	14101714	7796	-1
2	KWMTBOMO00189	1	5998702	6326	-1	SWUPr00152320	14	14082874	5050	1
2	KWMTBOMO00191	1	6126863	21029	1	SWUPr00152300	14	14002000	70181	-1
0	KWMTBOMO00192	1	6157932	6545	-1	SWUPr00152290	14	13916511	12483	1
0	KWMTBOMO00194	1	6173933	2209	1	SWUPr00152280	14	13902911	4851	-1
2	KWMTBOMO00195	1	6184082	6018	-1	SWUPr00152260	14	13888605	4694	1
2	KWMTBOMO00198	1	6218332	4118	-1	SWUPr00152230	14	13847627	5264	1
0	KWMTBOMO00200	1	6273243	4786	1	SWUPr00152220	14	13773625	5594	-1
0	KWMTBOMO00201	1	6281373	49848	1	SWUPr00152200	14	13765839	60506	-1
3	KWMTBOMO00203	1	6341653	16226	1	SWUPr00152170	14	13659196	20111	-1
3	KWMTBOMO00211	1	6576261	59779	1	SWUPr00152120	14	13407219	10953	-1
0	KWMTBOMO00214	1	6849914	23067	-1	SWUPr00152080	14	13153510	14149	1
0	KWMTBOMO00215	1	6857415	48267	1	SWUPr00152060	14	13143404	58744	-1
3	KWMTBOMO00219	1	7020984	8681	-1	SWUPr00152040	14	12961130	52511	1
4	KWMTBOMO00243	1	8281781	9543	1	SWUPr00151740	14	11605141	14041	-1
4	KWMTBOMO00244	1	8307450	7818	-1	SWUPr00151730	14	11580575	6771	1
0	KWMTBOMO00247	1	8456525	28295	-1	SWUPr00151680	14	11410028	5436	1
0	KWMTBOMO00248	1	8464105	4034	-1	SWUPr00151670	14	11366048	4902	1
0	KWMTBOMO00254	1	8532965	3350	-1	SWUPr00151630	14	11303984	4644	1
0	KWMTBOMO00256	1	8546696	13736	1	SWUPr00151620	14	11300947	12504	-1
4	KWMTBOMO00258	1	8588455	3737	-1	SWUPr00151600	14	11268179	2063	1
4	KWMTBOMO00259	1	8604046	2954	1	SWUPr00151590	14	11247126	3927	-1
4	KWMTBOMO00262	1	8630645	3465	-1	SWUPr00151570	14	11218480	5104	1
0	KWMTBOMO00264	1	8643885	3641	-1	SWUPr00151550	14	11197865	3513	1
0	KWMTBOMO00265	1	8646146	2646	1	SWUPr00151530	14	11170891	3622	-1
4	KWMTBOMO00266	1	8654886	13224	1	SWUPr00151520	14	11156557	5516	-1
0	KWMTBOMO00267	1	8678715	6399	-1	SWUPr00151490	14	11135616	4332	1
0	KWMTBOMO00269	1	8706655	3769	-1	SWUPr00151470	14	11109605	3428	1
4	KWMTBOMO00270	1	8728156	1011	1	SWUPr00151460	14	11092547	1181	-1
4	KWMTBOMO00271	1	8739735	9286	-1	SWUPr00151450	14	11060250	29039	1
0	KWMTBOMO00272	1	8779922	14048	-1	SWUPr00151430	14	10995878	24657	1
0	KWMTBOMO00274	1	8808232	12143	-1	SWUPr00151420	14	10976860	12824	1
0	KWMTBOMO00275	1	8813693	7152	1	SWUPr00151410	14	10961173	8785	-1
0	KWMTBOMO00276	1	8843413	1902	1	SWUPr00151400	14	10917711	7960	-1
0	KWMTBOMO00277	1	8853853	10044	1	SWUPr00151390	14	10900051	10155	-1
0	KWMTBOMO00279	1	8878643	15177	1	SWUPr00151380	14	10856747	15889	-1
0	KWMTBOMO00283	1	8967993	7584	1	SWUPr00152670	14	15249358	13682	1
5	KWMTBOMO00287	1	9067433	2714	1	SWUPr00152690	14	15320327	30952	1
5	KWMTBOMO00289	1	9123518	101301	1	SWUPr00152700	14	15444395	72380	1
5	KWMTBOMO00294	1	9341777	16458	-1	SWUPr00152750	14	15687923	12099	-1
5	KWMTBOMO00298	1	9398098	5154	1	SWUPr00152580	14	15044941	8681	-1
5	KWMTBOMO00299	1	9419748	1140	1	SWUPr00152550	14	15003452	6160	-1
0	KWMTBOMO00301	1	9445867	6204	-1	SWUPr00154600	14	21103984	3456	-1
0	KWMTBOMO00303	1	9484987	28211	-1	SWUPr00154630	14	21168615	35501	-1
0	KWMTBOMO00306	1	9552578	2063	1	SWUPr00154650	14	21273497	1718	1
0	KWMTBOMO00312	1	9731705	8943	1	SWUPr00154740	14	21530932	11552	1
0	KWMTBOMO00315	1	9765925	11078	1	SWUPr00154770	14	21585072	13399	1
0	KWMTBOMO00316	1	9785174	5484	-1	SWUPr00154780	14	21610272	7566	-1
0	KWMTBOMO00317	1	9797314	9546	-1	SWUPr00154790	14	21634070	15058	-1
0	KWMTBOMO00318	1	9798715	2374	1	SWUPr00154810	14	21640076	2007	1
0	KWMTBOMO00321	1	9828644	4618	-1	SWUPr00154830	14	21666728	6678	-1
0	KWMTBOMO00325	1	9910414	29327	-1	SWUPr00154860	14	21768422	15819	-1
0	KWMTBOMO00328	1	9944465	15215	1	SWUPr00152600	14	15151016	14498	-1
6	KWMTBOMO00335	1	10230439	1329	1	SWUPr00152880	14	16227101	1256	-1
0	KWMTBOMO00342	1	10368359	12790	1	SWUPr00152920	14	16296793	21582	1
6	KWMTBOMO00344	1	10394818	10890	-1	SWUPr00152940	14	16332015	10402	-1
6	KWMTBOMO00346	1	10419478	1553	-1	SWUPr00152960	14	16352044	3442	-1
6	KWMTBOMO00349	1	10482873	41691	1	SWUPr00152980	14	16386558	118861	1
0	KWMTBOMO00521	1	15248399	7537	-1	SWUPr00056420	5	12114330	4662	1
