block_id	Bm_gene	Bm_chrf	Bm_statrtsite	Bm_length	Bm_sign	Pr_gene	Pr_chrf	Pr_statrtsite	Pr_length	Pr_sign	Sl_gene	Sl_chrf	Sl_statrtsite	Sl_length	Sl_sign	Tn_gene	Tn_chrf	Tn_statrtsite	Tn_length	Tn_sign	Hmel_gene	Hmel_chrf	Hmel_statrtsite	Hmel_length	Hmel_sign
0	KWMTBOMO00011	1	362976	26284	1	SWUPr00149010	14	1962706	17049	-1	SWUSl0000070	31	372576	15822	1	Tni12770	1	450450	20557	1	HMEL035474g1.t1	21	2571229	16371	-1
0	KWMTBOMO00019	1	511106	34832	1	SWUPr00149000	14	1893813	55403	-1	SWUSl0000090	31	413035	28697	1	Tni12765	1	558049	55953	-1	HMEL008807g1.t1	21	2494204	7349	-1
0	KWMTBOMO00020	1	550815	2112	-1	SWUPr00148690	14	985678	4242	1	SWUSl0000100	31	446114	2647	-1	Tni12767	1	489806	7728	1	HMEL008808g1.t1	21	2482188	1318	1
0	KWMTBOMO00021	1	552536	907	1	SWUPr00148680	14	983189	728	1	SWUSl0000110	31	446886	734	1	Tni12768	1	489171	671	-1	HMEL008809g1.t1	21	2478765	725	-1
0	KWMTBOMO00022	1	564496	3218	1	SWUPr00148450	14	411896	3032	1	SWUSl0000120	31	460808	3038	1	Tni12760	1	605243	3038	1	HMEL008812g1.t1	21	2471382	3038	-1
0	KWMTBOMO00023	1	606255	1131	-1	SWUPr00148460	14	448956	1514	-1	SWUSl0000130	31	487263	992	-1	Tni12759	1	661742	992	-1	HMEL008813g1.t1	21	2452058	992	1
0	KWMTBOMO00024	1	607796	17534	1	SWUPr00148470	14	452152	20619	1	SWUSl0000140	31	489631	16233	1	Tni12758	1	662788	19467	1	HMEL008814g1.t1	21	2451225	7611	-1
0	KWMTBOMO00037	1	1209725	3167	-1	SWUPr00148730	14	1145282	2732	-1	SWUSl0000760	31	2626580	1745	-1	Tni12721	1	1913293	2185	1	HMEL007285g1.t1	21	2068471	1605	1
0	KWMTBOMO00042	1	1297471	2057	1	SWUPr00148760	14	1245268	7648	1	SWUSl0000730	31	2547860	1938	-1	Tni12718	1	2006978	19733	1	HMEL007283g1.t1	21	2032563	4582	-1
0	KWMTBOMO00051	1	1448811	20716	1	SWUPr00148820	14	1408401	11359	1	SWUSl0000640	31	2365600	15612	-1	Tni12710	1	2229616	23060	1	HMEL007275g1.t1	21	1953018	7398	-1
1	KWMTBOMO00168	1	5307347	4242	1	SWUPr00149930	14	5711455	5839	1	SWUSl0001480	31	6360450	5641	-1	Tni12801	1	4975742	6842	-1	HMEL015795g1.t1	21	12882036	3938	1
1	KWMTBOMO00172	1	5504843	22166	1	SWUPr00150000	14	5961133	10440	1	SWUSl0001410	31	6127875	5139	-1	Tni12794	1	4720552	8511	-1	HMEL013041g1.t1	21	13084239	4260	1
1	KWMTBOMO00181	1	5704293	9418	1	SWUPr00150080	14	6142847	8148	1	SWUSl0001570	31	6713210	5956	1	Tni12809	1	5258078	8278	1	HMEL035834g1.t1	21	13217212	6114	1
1	KWMTBOMO00186	1	5963213	1832	1	SWUPr00150120	14	6339626	1538	1	SWUSl0001600	31	6866812	1541	1	Tni12814	1	5405084	1538	1	HMEL009251g1.t1	21	13341840	1544	1
0	KWMTBOMO00187	1	5978092	10153	-1	SWUPr00152250	14	13876135	6823	1	SWUSl0001610	31	6876126	7779	1	Tni12815	1	5412544	12545	1	HMEL009252g1.t1	21	13348272	5584	1
0	KWMTBOMO00188	1	5981723	8255	1	SWUPr00152340	14	14101714	7796	-1	SWUSl0001620	31	6885014	5882	1	Tni12817	1	5428002	12609	1	HMEL035801g1.t1	21	12613660	4063	-1
2	KWMTBOMO00189	1	5998702	6326	-1	SWUPr00152320	14	14082874	5050	1	SWUSl0001640	31	6900298	5018	-1	Tni12818	1	5449214	9439	-1	HMEL025047g2.t1	21	12446464	6414	-1
2	KWMTBOMO00191	1	6126863	21029	1	SWUPr00152300	14	14002000	70181	-1	SWUSl0001650	31	6926996	12740	1	Tni06187	1	5550842	13677	1	HMEL011562g6.t1	21	12535918	30090	1
0	KWMTBOMO00192	1	6157932	6545	-1	SWUPr00152290	14	13916511	12483	1	SWUSl0001660	31	6945957	4542	-1	Tni06188	1	5571030	3383	-1	HMEL011561g1.t1	21	12583749	12775	-1
0	KWMTBOMO00194	1	6173933	2209	1	SWUPr00152280	14	13902911	4851	-1	SWUSl0001670	31	6946952	13116	1	Tni06189	1	5581277	10263	1	HMEL035800g1.t1	21	12588487	18129	1
2	KWMTBOMO00195	1	6184082	6018	-1	SWUPr00152260	14	13888605	4694	1	SWUSl0001680	31	6972036	6827	-1	Tni06190	1	5603185	8508	-1	HMEL035803g1.t1	21	12658464	4254	-1
2	KWMTBOMO00198	1	6218332	4118	-1	SWUPr00152230	14	13847627	5264	1	SWUSl0001700	31	6994492	680	-1	Tni06192	1	5621730	1394	-1	HMEL011795g1.t1	21	12681317	1542	-1
0	KWMTBOMO00200	1	6273243	4786	1	SWUPr00152220	14	13773625	5594	-1	SWUSl0001720	31	7036743	4425	1	Tni06194	1	5667005	10818	1	HMEL017737g1.t1	21	12763262	4455	1
0	KWMTBOMO00201	1	6281373	49848	1	SWUPr00152200	14	13765839	60506	-1	SWUSl0001740	31	7055863	45016	1	Tni06195	1	5680758	41475	1	HMEL035825g1.t1	21	12797748	21774	1
3	KWMTBOMO00203	1	6341653	16226	1	SWUPr00152170	14	13659196	20111	-1	SWUSl0001760	31	7156103	11798	1	Tni06199	1	5773120	18225	1	HMEL010553g1.t1	21	9403931	18908	-1
3	KWMTBOMO00211	1	6576261	59779	1	SWUPr00152120	14	13407219	10953	-1	SWUSl0001810	31	7345865	31544	1	Tni06203	1	5927864	35044	1	HMEL012199g3.t1	21	9198240	2583	-1
0	KWMTBOMO00214	1	6849914	23067	-1	SWUPr00152080	14	13153510	14149	1	SWUSl0001860	31	7579336	10886	-1	Tni06208	1	6120075	10916	-1	HMEL012190g1.t1	21	9002825	13177	1
0	KWMTBOMO00215	1	6857415	48267	1	SWUPr00152060	14	13143404	58744	-1	SWUSl0001870	31	7580874	55710	1	Tni06209	1	6129850	42352	1	HMEL035668g1.t1	21	8969074	59267	-1
3	KWMTBOMO00219	1	7020984	8681	-1	SWUPr00152040	14	12961130	52511	1	SWUSl0001900	31	7742451	36499	-1	Tni06212	1	6248582	17755	-1	HMEL008470g1.t1	21	8497055	18821	-1
4	KWMTBOMO00243	1	8281781	9543	1	SWUPr00151740	14	11605141	14041	-1	SWUSl0002120	31	8636378	7569	1	Tni06275	1	7814041	6950	-1	HMEL009820g1.t1	21	10557027	9142	-1
4	KWMTBOMO00244	1	8307450	7818	-1	SWUPr00151730	14	11580575	6771	1	SWUSl0002130	31	8653688	6686	-1	Tni06274	1	7798535	6746	1	HMEL009822g1.t1	21	10528143	7293	1
0	KWMTBOMO00247	1	8456525	28295	-1	SWUPr00151680	14	11410028	5436	1	SWUSl0002160	31	8870363	40802	-1	Tni06272	1	7660866	4633	1	HMEL009816g1.t1	21	10605219	2034	-1
0	KWMTBOMO00248	1	8464105	4034	-1	SWUPr00151670	14	11366048	4902	1	SWUSl0002170	31	8880455	7969	-1	Tni06271	1	7635012	6910	1	HMEL009815g1.t1	21	10623956	4586	-1
0	KWMTBOMO00254	1	8532965	3350	-1	SWUPr00151630	14	11303984	4644	1	SWUSl0002210	31	8958401	1309	-1	Tni06267	1	7571199	2792	1	HMEL009810g1.t1	21	10704884	2153	-1
0	KWMTBOMO00256	1	8546696	13736	1	SWUPr00151620	14	11300947	12504	-1	SWUSl0002220	31	8962747	10060	1	Tni06266	1	7570576	9793	-1	HMEL009809g1.t1	21	10706079	9412	1
4	KWMTBOMO00258	1	8588455	3737	-1	SWUPr00151600	14	11268179	2063	1	SWUSl0002240	31	8999546	2328	-1	Tni06263	1	7535034	5157	1	HMEL035720g1.t1	21	10735269	2991	-1
4	KWMTBOMO00259	1	8604046	2954	1	SWUPr00151590	14	11247126	3927	-1	SWUSl0002250	31	9034275	2791	1	Tni06262	1	7515425	2796	-1	HMEL035722g1.t1	21	10753021	2514	1
4	KWMTBOMO00262	1	8630645	3465	-1	SWUPr00151570	14	11218480	5104	1	SWUSl0002280	31	9069334	6957	-1	Tni06259	1	7490954	3402	1	HMEL009806g1.t1	21	10775835	4512	-1
0	KWMTBOMO00264	1	8643885	3641	-1	SWUPr00151550	14	11197865	3513	1	SWUSl0002300	31	9083376	2020	-1	Tni06257	1	7477056	7930	1	HMEL006113g1.t1	21	10796077	4938	-1
0	KWMTBOMO00265	1	8646146	2646	1	SWUPr00151530	14	11170891	3622	-1	SWUSl0002340	31	9140993	2293	-1	Tni02185	18	3954829	524	1	HMEL006114g1.t1	21	10797936	5154	1
4	KWMTBOMO00266	1	8654886	13224	1	SWUPr00151520	14	11156557	5516	-1	SWUSl0002320	31	9104042	4676	-1	Tni06255	1	7431360	36658	1	HMEL006116g2.t1	21	10825586	10139	1
0	KWMTBOMO00267	1	8678715	6399	-1	SWUPr00151490	14	11135616	4332	1	SWUSl0002310	31	9086605	7110	1	Tni06256	1	7475061	8156	-1	HMEL003177g2.t1	21	10886656	3786	-1
0	KWMTBOMO00269	1	8706655	3769	-1	SWUPr00151470	14	11109605	3428	1	SWUSl0002350	31	9167215	3687	-1	Tni06254	1	7409019	5002	1	HMEL033506g1.t1	16	3637923	2019	-1
4	KWMTBOMO00270	1	8728156	1011	1	SWUPr00151460	14	11092547	1181	-1	SWUSl0002360	31	9189481	936	1	Tni06253	1	7382547	1864	-1	HMEL012736g1.t1	21	10956151	1291	1
4	KWMTBOMO00271	1	8739735	9286	-1	SWUPr00151450	14	11060250	29039	1	SWUSl0002370	31	9242108	46969	-1	Tni06252	1	7335886	45194	1	HMEL012735g1.t1	21	10969187	6849	-1
0	KWMTBOMO00272	1	8779922	14048	-1	SWUPr00151430	14	10995878	24657	1	SWUSl0003500	31	12213249	15389	-1	Tni06059	1	11657419	15062	1	HMEL035783g1.t1	21	11780018	35918	1
0	KWMTBOMO00274	1	8808232	12143	-1	SWUPr00151420	14	10976860	12824	1	SWUSl0003510	31	12231316	12655	-1	Tni06058	1	11642243	10205	1	HMEL010903g3.t1	21	11750492	5979	1
0	KWMTBOMO00275	1	8813693	7152	1	SWUPr00151410	14	10961173	8785	-1	SWUSl0002600	31	9894331	13123	1	Tni06057	1	11641943	8976	-1	HMEL021952g2.t1	11	3367331	6354	1
0	KWMTBOMO00276	1	8843413	1902	1	SWUPr00151400	14	10917711	7960	-1	SWUSl0002620	31	9935778	1862	1	Tni06056	1	11620536	7902	-1	HMEL035771g1.t1	21	11671157	15561	-1
0	KWMTBOMO00277	1	8853853	10044	1	SWUPr00151390	14	10900051	10155	-1	SWUSl0002630	31	9941615	27315	1	Tni06055	1	11610015	8357	-1	HMEL035770g1.t1	21	11651328	14550	-1
0	KWMTBOMO00279	1	8878643	15177	1	SWUPr00151380	14	10856747	15889	-1	SWUSl0002660	31	9976968	11545	1	Tni06053	1	11595506	12248	-1	HMEL013400g1.t1	21	11607597	21619	-1
0	KWMTBOMO00283	1	8967993	7584	1	SWUPr00152670	14	15249358	13682	1	SWUSl0002710	31	10041423	5611	1	Tni06047	1	11277489	37808	1	HMEL013405g1.t1	21	11506875	16504	-1
5	KWMTBOMO00287	1	9067433	2714	1	SWUPr00152690	14	15320327	30952	1	SWUSl0002730	31	10146722	41147	1	Tni06049	1	11368606	29385	1	HMEL005179g1.t1	21	11467180	8026	-1
5	KWMTBOMO00289	1	9123518	101301	1	SWUPr00152700	14	15444395	72380	1	SWUSl0002740	31	10253996	112752	1	Tni06050	1	11456147	103080	1	HMEL012219g2.t1	21	11324982	10930	-1
5	KWMTBOMO00294	1	9341777	16458	-1	SWUPr00152750	14	15687923	12099	-1	SWUSl0002790	31	10539789	19236	-1	Tni06043	1	11160229	18112	1	HMEL012224g1.t1	21	11176640	12471	1
5	KWMTBOMO00298	1	9398098	5154	1	SWUPr00152580	14	15044941	8681	-1	SWUSl0002810	31	10583080	5495	1	Tni06041	1	11135765	5150	-1	HMEL007337g1.t1	21	11114687	6843	-1
5	KWMTBOMO00299	1	9419748	1140	1	SWUPr00152550	14	15003452	6160	-1	SWUSl0002820	31	10598719	1576	1	Tni06040	1	11121707	3598	-1	HMEL012729g1.t1	21	11092819	5133	-1
0	KWMTBOMO00301	1	9445867	6204	-1	SWUPr00154600	14	21103984	3456	-1	SWUSl0002840	31	10618278	4454	-1	Tni06038	1	11107620	4317	1	HMEL012731g1.t1	21	11067866	3696	1
0	KWMTBOMO00303	1	9484987	28211	-1	SWUPr00154630	14	21168615	35501	-1	SWUSl0002860	31	10641716	15964	-1	Tni06036	1	11074947	29433	1	HMEL035786g1.t1	21	11852001	14526	-1
0	KWMTBOMO00306	1	9552578	2063	1	SWUPr00154650	14	21273497	1718	1	SWUSl0002880	31	10684260	32069	1	Tni06035	1	11054784	28463	-1	HMEL007976g1.t1	21	12010657	1667	1
0	KWMTBOMO00312	1	9731705	8943	1	SWUPr00154740	14	21530932	11552	1	SWUSl0002960	31	10941376	16893	1	Tni06027	1	10818718	14387	-1	HMEL025041g1.t1	21	12299036	8189	1
0	KWMTBOMO00315	1	9765925	11078	1	SWUPr00154770	14	21585072	13399	1	SWUSl0003000	31	10988663	11435	1	Tni06024	1	10781616	9163	-1	HMEL035796g1.t1	21	12340573	12709	1
0	KWMTBOMO00316	1	9785174	5484	-1	SWUPr00154780	14	21610272	7566	-1	SWUSl0003010	31	11008265	6042	-1	Tni06023	1	10766793	7988	1	HMEL002158g1.t1	21	8070860	4816	1
0	KWMTBOMO00317	1	9797314	9546	-1	SWUPr00154790	14	21634070	15058	-1	SWUSl0003020	31	11021056	9772	-1	Tni06022	1	10752918	12021	1	HMEL002159g2.t1	21	8062732	6228	1
0	KWMTBOMO00318	1	9798715	2374	1	SWUPr00154810	14	21640076	2007	1	SWUSl0003040	31	11026482	2478	1	Tni06021	1	10752802	6747	-1	HMEL002160g1.t1	21	8059180	12195	-1
0	KWMTBOMO00321	1	9828644	4618	-1	SWUPr00154830	14	21666728	6678	-1	SWUSl0003060	31	11049454	4536	-1	Tni06019	1	10729152	5057	1	HMEL002161g1.t1	21	8031835	8952	1
0	KWMTBOMO00325	1	9910414	29327	-1	SWUPr00154860	14	21768422	15819	-1	SWUSl0003090	31	11144086	11136	-1	Tni06014	1	10652748	16754	1	HMEL008465g3.t1	21	8400145	13522	-1
0	KWMTBOMO00328	1	9944465	15215	1	SWUPr00152600	14	15151016	14498	-1	SWUSl0003120	31	11167022	33690	1	Tni06011	1	10637756	29995	-1	HMEL035655g1.t1	21	8423306	13147	1
6	KWMTBOMO00335	1	10230439	1329	1	SWUPr00152880	14	16227101	1256	-1	SWUSl0003190	31	11476463	818	-1	Tni06401	1	10354600	1387	1	HMEL008457g1.t1	21	8239807	695	1
0	KWMTBOMO00342	1	10368359	12790	1	SWUPr00152920	14	16296793	21582	1	SWUSl0003240	31	11624760	10903	1	Tni06393	1	10241486	8061	-1	HMEL002163g1.t1	21	8023629	9489	-1
6	KWMTBOMO00344	1	10394818	10890	-1	SWUPr00152940	14	16332015	10402	-1	SWUSl0003270	31	11663594	15638	-1	Tni06391	1	10223214	5956	1	HMEL002164g1.t1	21	8005811	4543	1
6	KWMTBOMO00346	1	10419478	1553	-1	SWUPr00152960	14	16352044	3442	-1	SWUSl0003290	31	11790223	115852	-1	Tni06390	1	10208564	2622	1	HMEL002166g1.t1	21	7987208	1064	1
6	KWMTBOMO00349	1	10482873	41691	1	SWUPr00152980	14	16386558	118861	1	SWUSl0003300	31	11698839	58068	1	Tni06385	1	10141225	16652	-1	HMEL002168g1.t1	21	7947181	27156	-1
0	KWMTBOMO00521	1	15248399	7537	-1	SWUPr00056420	5	12114330	4662	1	SWUSl0013360	2	6922594	5965	1	Tni01931	15	6512530	4668	-1	HMEL006240g1.t1	11	5830155	5894	1
0	KWMTBOMO00544	1	16089960	11851	1	SWUPr00150580	14	7634311	9855	1	SWUSl0004460	31	15564014	17818	1	Tni06126	1	13374282	16436	1	HMEL011031g1.t1	21	592139	4140	1
0	KWMTBOMO00545	1	16116700	10802	1	SWUPr00150590	14	7658699	6572	1	SWUSl0004480	31	15607555	21820	1	Tni06130	1	13408142	10813	1	HMEL007279g1.t1	21	1995366	7870	1
0	KWMTBOMO00585	1	17429182	1479	-1	SWUPr00150870	14	8836022	1689	-1	SWUSl0004740	31	16699939	19165	-1	Tni12966	1	15754138	15275	-1	HMEL008794g1.t1	21	6759976	1749	-1
0	KWMTBOMO00621	1	19389948	17376	-1	SWUPr00151180	14	10233901	25887	1	SWUSl0004950	31	18070406	10397	1	Tni06178	1	14841349	12451	1	HMEL035602g1.t1	21	6409286	9918	1
0	KWMTBOMO00640	1	19793115	28927	1	SWUPr00151310	14	10629946	26806	1	SWUSl0005070	31	18517671	11242	1	Tni06167	1	14584251	24760	-1	HMEL013532g1.t1	21	1150670	21116	-1
0	KWMTBOMO00644	1	20004425	19851	1	SWUPr00151340	14	10803739	16443	1	SWUSl0005090	31	18631595	8372	1	Tni06164	1	14449368	8917	-1	HMEL011017g1.t1	21	1014185	17543	-1
0	KWMTBOMO00646	1	20026865	5880	1	SWUPr00151360	14	10827952	3309	1	SWUSl0005100	31	18646779	5584	1	Tni06163	1	14438901	3334	-1	HMEL011018g1.t1	21	995049	4081	-1
0	KWMTBOMO00651	1	20087084	22680	-1	SWUPr00152410	14	14536817	101318	-1	SWUSl0005140	31	18694925	24822	-1	Tni06160	1	14405956	14663	1	HMEL011021g1.t1	21	960779	6220	1
0	KWMTBOMO00655	1	20335893	5059	-1	SWUPr00152460	14	14747768	4361	-1	SWUSl0005170	31	18797783	3939	-1	Tni06156	1	14253884	4161	1	HMEL011027g2.t1	21	779273	4071	1
0	KWMTBOMO00656	1	20346913	1646	-1	SWUPr00152470	14	14756954	711	-1	SWUSl0005180	31	18809591	490	-1	Tni20235	1	14250145	1772	1	HMEL011027g1.t1	21	777891	1049	1
0	KWMTBOMO00657	1	20347134	2185	1	SWUPr00152480	14	14757369	1830	1	SWUSl0005190	31	18810339	2275	1	Tni06155	1	14249846	2165	-1	HMEL011028g1.t1	21	777350	1874	-1
0	KWMTBOMO00670	2	49036	5204	1	SWUPr00001760	1	6200315	2336	1	SWUSl0044760	10	22428	711	-1	Tni09300	2	1028528	4179	1	HMEL011184g1.t1	7	1194156	2579	-1
7	KWMTBOMO00683	2	427555	4499	-1	SWUPr00001820	1	6290259	13623	-1	SWUSl0044810	10	288040	9660	1	Tni09308	2	1297895	12712	1	HMEL003160g2.t1	7	59874	2691	-1
7	KWMTBOMO00686	2	519875	9162	-1	SWUPr00001870	1	6393595	3053	-1	SWUSl0044900	10	370935	3044	-1	Tni09312	2	1336861	3047	-1	HMEL003162g2.t1	7	36809	3053	1
0	KWMTBOMO00688	2	552215	15778	-1	SWUPr00001930	1	6663199	6976	-1	SWUSl0044950	10	589397	20234	-1	Tni09317	2	1489765	9071	-1	HMEL016114g1.t1	7	329699	8067	-1
0	KWMTBOMO00689	2	552696	4071	1	SWUPr00001950	1	6675966	4195	1	SWUSl0044960	10	590288	20150	1	Tni09318	2	1490169	13257	1	HMEL016115g1.t1	7	335418	3589	-1
0	KWMTBOMO00694	2	594205	12718	-1	SWUPr00002000	1	6748169	6772	-1	SWUSl0044990	10	666551	6637	-1	Tni09323	2	1544411	4496	-1	HMEL016117g1.t1	7	341671	3287	-1
0	KWMTBOMO00695	2	595146	47983	1	SWUPr00002030	1	6796072	5084	1	SWUSl0045000	10	721889	8930	1	Tni09324	2	1545037	51899	1	HMEL016119g1.t1	7	372526	7544	1
7	KWMTBOMO00698	2	707926	11125	1	SWUPr00002050	1	6864847	57652	1	SWUSl0045020	10	790062	11975	1	Tni09326	2	1629896	21877	1	HMEL016122g1.t1	7	414811	3231	1
7	KWMTBOMO00703	2	802455	5060	-1	SWUPr00002080	1	7070141	2737	-1	SWUSl0045040	10	898159	7401	-1	Tni09328	2	1719956	3392	-1	HMEL016124g1.t1	7	464047	2759	-1
7	KWMTBOMO00704	2	824355	13584	1	SWUPr00002090	1	7120037	12279	1	SWUSl0045050	10	956774	14480	1	Tni09329	2	1748538	19044	1	HMEL016125g1.t1	7	483659	5387	1
7	KWMTBOMO00706	2	851054	1940	-1	SWUPr00002100	1	7145853	12030	-1	SWUSl0045060	10	991745	4677	-1	Tni09333	2	1791852	6887	-1	HMEL016127g1.t1	7	499725	4076	-1
7	KWMTBOMO00708	2	889855	14236	1	SWUPr00002120	1	7174098	26514	1	SWUSl0045080	10	1021567	33117	1	Tni09335	2	1805874	17913	1	HMEL016130g1.t1	7	514428	13252	1
8	KWMTBOMO00714	2	1130124	43487	-1	SWUPr00002240	1	7487906	39723	-1	SWUSl0045150	10	1302175	29105	-1	Tni09343	2	1974243	22867	-1	HMEL037353g1.t2	7	668728	14416	-1
8	KWMTBOMO00716	2	1202044	33262	-1	SWUPr00002260	1	7568972	17901	-1	SWUSl0045160	10	1385204	44224	-1	Tni09347	2	2018287	2952	-1	HMEL009515g1.t1	7	710060	21011	-1
8	KWMTBOMO00718	2	1310215	9748	-1	SWUPr00002280	1	7717780	19077	-1	SWUSl0045180	10	1508590	40937	-1	Tni09350	2	2104390	10104	-1	HMEL009520g1.t1	7	775750	7624	-1
8	KWMTBOMO00720	2	1408296	48176	1	SWUPr00002290	1	7849993	10835	1	SWUSl0045200	10	1587052	48091	1	Tni09352	2	2155947	29465	1	HMEL009522g1.t1	7	829820	7440	1
8	KWMTBOMO00722	2	1501475	28901	-1	SWUPr00002310	1	7890015	12297	-1	SWUSl0045220	10	1676092	28052	-1	Tni09354	2	2215526	21907	-1	HMEL009524g2.t1	7	876249	19368	-1
8	KWMTBOMO00724	2	1570016	4824	1	SWUPr00002360	1	7995942	2821	1	SWUSl0045240	10	1745018	7212	1	Tni09356	2	2272093	4476	1	HMEL009527g1.t1	7	914975	5141	1
0	KWMTBOMO00726	2	1579896	4702	1	SWUPr00002380	1	8013220	5275	1	SWUSl0045270	10	1763042	3489	1	Tni09358	2	2279338	2449	1	HMEL009530g1.t1	7	930018	1563	1
0	KWMTBOMO00728	2	1632635	1497	-1	SWUPr00002400	1	8083896	932	-1	SWUSl0045290	10	1818614	4108	-1	Tni09360	2	2315409	1771	-1	HMEL011157g1.t1	7	960973	1232	-1
0	KWMTBOMO00729	2	1635776	10963	1	SWUPr00002420	1	8095981	9222	1	SWUSl0045300	10	1818793	8342	1	Tni09361	2	2318131	4825	1	HMEL011158g1.t1	7	961930	4596	1
0	KWMTBOMO00735	2	1820666	3197	1	SWUPr00002520	1	8363009	4079	1	SWUSl0045350	10	2059877	3785	1	Tni09368	2	2458698	4401	1	HMEL011165g1.t1	7	1058708	1676	1
0	KWMTBOMO00750	2	2418446	3844	1	SWUPr00002650	1	8920240	3729	-1	SWUSl0045700	10	2236253	8639	-1	Tni09297	2	979031	2276	1	HMEL011200g1.t1	7	1416728	2116	1
0	KWMTBOMO00773	2	2712405	7353	-1	SWUPr00002710	1	9220644	16171	-1	SWUSl0045750	10	2428611	10848	-1	Tni09291	2	807294	7533	1	HMEL011195g1.t1	7	1309834	6092	1
9	KWMTBOMO00783	2	2905255	6594	1	SWUPr00000070	1	92521	6799	-1	SWUSl0045870	10	2678332	5027	-1	Tni09282	2	667572	3851	1	HMEL011178g1.t1	7	1171875	3727	-1
9	KWMTBOMO00785	2	2948725	6527	1	SWUPr00000060	1	58472	11730	-1	SWUSl0045850	10	2619087	18388	-1	Tni09284	2	685590	6160	-1	HMEL011183g1.t1	7	1186967	3725	-1
9	KWMTBOMO00788	2	2999164	15318	-1	SWUPr00000110	1	138520	15256	-1	SWUSl0045900	10	2733378	29729	-1	Tni09279	2	642671	19307	1	HMEL011176g1.t1	7	1135902	12684	1
0	KWMTBOMO00792	2	3057575	2000	1	SWUPr00000160	1	198460	3366	1	SWUSl0045950	10	2777471	2094	1	Tni09274	2	602232	2064	-1	HMEL037387g1.t1	7	1516033	2129	1
0	KWMTBOMO00793	2	3074464	11131	-1	SWUPr00000190	1	226080	19002	-1	SWUSl0045960	10	2781572	13454	1	Tni09273	2	584664	14080	1	HMEL011213g1.t1	7	1525964	4954	-1
0	KWMTBOMO00795	2	3082265	39532	1	SWUPr00000210	1	236010	68169	1	SWUSl0045980	10	2802992	33459	1	Tni09271	2	557550	15161	-1	HMEL011215g1.t1	7	1531770	9632	1
0	KWMTBOMO00800	2	3162385	18239	1	SWUPr00000230	1	318770	20010	1	SWUSl0046000	10	2872525	22739	1	Tni09269	2	524889	15539	-1	HMEL011219g1.t1	7	1560266	5125	1
